county,ward,total,Screnock,Dallet,SCATTERING
,CITY OF APPLETON Ward 31,16,5,11,0
,CITY OF APPLETON Ward 32,91,44,47,0
,"City of MENASHA Wards 1-2,4,7",526,202,323,1
,"City of MENASHA Wards 3,14-15,30",229,87,142,0
,"City of MENASHA Wards 5A-6,8-9,23-29,31-35,38-42",505,183,321,1
,"City of MENASHA Wards 10-13,21-22,36-37",502,186,315,1
,City of NEENAH Wards 1-4,621,207,414,0
,City of NEENAH Wards 5-8,428,165,262,1
,City of NEENAH Wards 9-12,842,331,507,4
,City of NEENAH Wards 13-16,687,293,394,0
,"City of NEENAH Wards 17-20,26",451,154,297,0
,City of NEENAH Wards 21-25,835,319,513,3
,City of OMRO Wards 1-8,576,267,309,0
,City of OSHKOSH Ward 1,379,128,251,0
,City of OSHKOSH Ward 2,285,82,203,0
,City of OSHKOSH Ward 3,68,15,53,0
,City of OSHKOSH Ward 4,67,17,50,0
,City of OSHKOSH Ward 5,152,44,107,1
,City of OSHKOSH Ward 6,205,56,149,0
,City of OSHKOSH Ward 7,439,126,313,0
,City of OSHKOSH Ward 8,272,80,192,0
,City of OSHKOSH Ward 9,126,37,89,0
,City of OSHKOSH Ward 10,354,112,242,0
,City of OSHKOSH Ward 11,241,82,158,1
,City of OSHKOSH Ward 12,203,70,133,0
,City of OSHKOSH Ward 13,314,138,176,0
,City of OSHKOSH Ward 14,347,151,194,2
,City of OSHKOSH Ward 15,286,118,168,0
,City of OSHKOSH Ward 16,392,162,230,0
,City of OSHKOSH Ward 17,254,86,168,0
,City of OSHKOSH Ward 18,388,165,223,0
,City of OSHKOSH Ward 19,269,113,156,0
,City of OSHKOSH Ward 20,139,71,68,0
,City of OSHKOSH Ward 21,250,109,141,0
,City of OSHKOSH Ward 22B,0,0,0,0
,City of OSHKOSH Ward 22A,529,245,284,0
,City of OSHKOSH Ward 23B,12,5,7,0
,City of OSHKOSH Ward 23A,421,142,279,0
,City of OSHKOSH Ward 24,177,65,112,0
,City of OSHKOSH Ward 25A,56,17,39,0
,City of OSHKOSH Ward 25B,244,84,160,0
,City of OSHKOSH Ward 26,167,74,93,0
,City of OSHKOSH Ward 27,306,94,211,1
,City of OSHKOSH Ward 28B,55,26,29,0
,City of OSHKOSH Ward 28A,277,101,176,0
,City of OSHKOSH Ward 29B,0,0,0,0
,City of OSHKOSH Ward 29A,142,64,78,0
,City of OSHKOSH Ward 30,24,11,13,0
,City of OSHKOSH Ward 31,58,24,34,0
,City of OSHKOSH Ward 32,0,0,0,0
,City of OSHKOSH Ward 33,13,7,6,0
,City of OSHKOSH Ward 34,2,0,2,0
,City of OSHKOSH Ward 35,7,4,3,0
,City of OSHKOSH Ward 36,0,0,0,0
,City of OSHKOSH Ward 37,4,3,1,0
,City of OSHKOSH Ward 38,5,2,3,0
,City of OSHKOSH Ward 39,0,0,0,0
,City of OSHKOSH Ward 40,2,2,0,0
,County Totals:,"23,856","10,319","13,510",27
WOOD ,Town of ARPIN Wards 1-3,109,64,45,0
,Town of AUBURNDALE Ward 1,102,65,37,0
,Town of CAMERON Ward 1,77,41,36,0
,Town of CARY Ward 1,125,71,54,0
,Town of CRANMOOR Ward 1,46,36,10,0
,Town of DEXTER Ward 1,91,46,45,0
,Town of GRAND RAPIDS Ward 1-11,"1,525",721,804,0
,Town of HANSEN Ward 1,142,92,50,0
,Town of HILES Ward 1,44,28,16,0
,Town of LINCOLN Wards 1-2,269,131,138,0
,Town of MARSHFIELD Ward 1,124,63,61,0
,Town of MILLADORE Ward 1,75,38,37,0
,Town of PORT EDWARDS Ward 1-4,222,119,103,0
,Town of REMINGTON Ward 1,52,28,24,0
,Town of RICHFIELD Ward 1-3,217,123,94,0
,Town of ROCK Ward 1,147,85,62,0
,Town of RUDOLPH Ward 1-2,183,97,86,0
,Town of SARATOGA Ward 1-9,844,399,445,0
,Town of SENECA Ward 1-3,204,100,104,0
,Town of SHERRY Ward 1,121,73,48,0
,Town of SIGEL Ward 1-3,192,90,102,0
,Town of WOOD Ward 1,216,118,98,0
,Village of ARPIN Ward 1,51,31,20,0
,Village of AUBURNDALE Ward 1,78,47,31,0
,Village of BIRON Ward 1,129,54,75,0
,Village of HEWITT Ward 1,155,73,82,0
,Village of MILLADORE Ward 1,46,28,18,0
,Village of PORT EDWARDS Ward 1-3,306,125,181,0
,Village of RUDOLPH Ward 1,94,43,51,0
,Village of VESPER Ward 1,108,66,42,0
,"City of MARSHFIELD Wards 1,11",164,71,93,0
,City of MARSHFIELD Ward 2,237,98,139,0
,"City of MARSHFIELD Wards 3,13",541,217,324,0
,"City of MARSHFIELD Wards 4,14",422,178,244,0
,"City of MARSHFIELD Wards 5,15",275,132,143,0
,"City of MARSHFIELD Wards 6,16,25-26",248,115,133,0
,"City of MARSHFIELD Wards 7,17,27",412,172,240,0
,"City of MARSHFIELD Wards 8,18,23",328,131,197,0
,"City of MARSHFIELD Wards 9,19,22",212,109,103,0
,City of MARSHFIELD Ward 10,211,84,127,0
,City of NEKOOSA Wards 1-4,472,241,231,0
,City of PITTSVILLE Ward 1,256,151,105,0
,"City of WISCONSIN RAPIDS Wards 1-10,22-23","1,192",532,660,0
,"City of WISCONSIN RAPIDS Wards 11-21,24-29","1,340",607,733,0
,County Totals:,"12,404","5,933","6,471",0
Office Totals:,,"997,485","440,808","555,848",829
